Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
D01-001,2025-05-11,07:00,Cylinder-Main,Strip break at forming section,A. Patel,1.5,Closed,Spare part ordered — pending,Day,Line-1,Line-1
D01-002,2025-05-13,12:00,Motor-A,Conveyor belt slip / misalignment,A. Patel,2.2,Closed,Root cause: wear and tear,Day,Line-1,Line-1
D01-003,2025-05-09,14:45,Pump-2,Hydraulic valve stuck open,N. Das,2.6,Open,Temporary fix applied,Day,Line-1,Line-1
D01-004,2025-05-09,12:30,Cylinder-Main,Pneumatic pressure drop in actuator,A. Patel,7.7,Closed,Spare part ordered — pending,Day,Line-1,Line-1
D01-005,2025-05-19,07:30,Conveyor-Drive,Lubrication system fault — low level,K. Yadav,6.6,Closed,Spare part ordered — pending,Day,Line-1,Line-1
D01-006,2025-05-02,12:00,Cylinder-Main,Chain elongation on drive chain,N. Das,7.1,Closed,Root cause: wear and tear,Day,Line-1,Line-1
D01-007,2025-05-09,07:00,Pump-2,Coating thickness alarm,K. Yadav,7.9,Open,Spare part ordered — pending,Day,Line-1,Line-1
D01-008,2025-05-19,10:45,Conveyor-Drive,Coolant pump not starting,S. Kumar,3.2,Closed,Spare part ordered — pending,Day,Line-1,Line-1
D01-009,2025-05-12,08:15,Pump-1,Hydraulic valve stuck open,D. Mehta,2.5,Open,Root cause: wear and tear,Day,Line-1,Line-1
D01-010,2025-05-10,11:00,Pump-2,Motor overheating — bearing failure,S. Kumar,3.5,Closed,Escalated to OEM,Day,Line-1,Line-1
D01-011,2025-05-25,13:45,PLC-Panel,Pneumatic pressure drop in actuator,K. Yadav,1.5,Closed,Preventive maintenance scheduled,Day,Line-1,Line-1
D01-012,2025-05-08,12:45,Conveyor-Drive,Strip break at forming section,M. Singh,4.3,Closed,Repaired and tested OK,Day,Line-1,Line-1
D01-013,2025-05-04,07:15,Pump-1,Gear coupling worn — noise detected,D. Mehta,5.0,Closed,,Day,Line-1,Line-1
D01-014,2025-05-15,10:00,Motor-B,Gear coupling worn — noise detected,B. Reddy,6.1,Open,Escalated to OEM,Day,Line-1,Line-1
D01-015,2025-05-28,10:45,Pump-1,Hydraulic valve stuck open,R. Sharma,7.7,Open,Preventive maintenance scheduled,Day,Line-1,Line-1
N01-001,2025-05-15,19:00,Cylinder-Main,Chain elongation on drive chain,B. Reddy,5.1,Closed,Temporary fix applied,Night,Line-1,Line-1
N01-002,2025-05-14,22:00,Conveyor-Drive,Drive belt worn — replacement needed,R. Sharma,1.3,Closed,Preventive maintenance scheduled,Night,Line-1,Line-1
N01-003,2025-05-24,18:15,Motor-B,Conveyor belt slip / misalignment,V. Joshi,6.6,Open,Temporary fix applied,Night,Line-1,Line-1
N01-004,2025-05-27,23:45,Pump-1,Vibration high on spindle motor,B. Reddy,7.0,Closed,Root cause: wear and tear,Night,Line-1,Line-1
N01-005,2025-05-02,22:15,Cylinder-Main,Emergency stop triggered — unknown cause,S. Kumar,3.8,Closed,Spare part ordered — pending,Night,Line-1,Line-1
N01-006,2025-05-24,19:00,Conveyor-Drive,Hydraulic leak in main cylinder,N. Das,4.7,Closed,Repaired and tested OK,Night,Line-1,Line-1
N01-007,2025-05-29,23:00,Pump-2,Conveyor belt slip / misalignment,R. Sharma,6.9,Closed,Root cause: wear and tear,Night,Line-1,Line-1
N01-008,2025-05-23,23:45,Pump-2,Air compressor pressure low,M. Singh,5.9,Open,,Night,Line-1,Line-1
N01-009,2025-05-24,21:45,Pump-2,PLC fault code F-204 — sensor error,P. Gupta,5.4,Closed,Resolved by operator adjustment,Night,Line-1,Line-1
N01-010,2025-05-17,23:00,Motor-B,Motor overheating — bearing failure,D. Mehta,6.0,Open,Spare part ordered — pending,Night,Line-1,Line-1
N01-011,2025-05-24,19:15,PLC-Panel,Pneumatic pressure drop in actuator,D. Mehta,1.9,Closed,Spare part ordered — pending,Night,Line-1,Line-1
N01-012,2025-05-17,22:00,Motor-A,Chain elongation on drive chain,B. Reddy,6.8,Open,Root cause: wear and tear,Night,Line-1,Line-1
D02-001,2025-05-26,12:45,PLC-Panel,Weld seam out of tolerance,D. Mehta,7.3,Closed,Repaired and tested OK,Day,Line-2,Line-2
D02-002,2025-05-19,10:45,Cylinder-Main,Pipe OD out of spec — forming issue,B. Reddy,5.5,Closed,Root cause: wear and tear,Day,Line-2,Line-2
D02-003,2025-05-22,09:00,Motor-A,Torch height error — cutting machine,S. Kumar,0.9,Closed,Temporary fix applied,Day,Line-2,Line-2
D02-004,2025-05-30,14:00,Pump-1,Conveyor belt slip / misalignment,N. Das,1.0,Open,Resolved by operator adjustment,Day,Line-2,Line-2
D02-005,2025-05-28,09:00,Motor-B,Pipe OD out of spec — forming issue,N. Das,4.7,Closed,Preventive maintenance scheduled,Day,Line-2,Line-2
D02-006,2025-05-25,11:15,Cylinder-Main,Emergency stop triggered — unknown cause,M. Singh,5.5,Closed,Escalated to OEM,Day,Line-2,Line-2
D02-007,2025-05-02,07:00,PLC-Panel,Lubrication system fault — low level,N. Das,8.0,Closed,Root cause: wear and tear,Day,Line-2,Line-2
D02-008,2025-05-15,10:15,Conveyor-Drive,Conveyor belt slip / misalignment,A. Patel,3.3,Closed,Preventive maintenance scheduled,Day,Line-2,Line-2
D02-009,2025-05-12,14:00,Cylinder-Main,Gear coupling worn — noise detected,P. Gupta,7.5,Closed,Spare part ordered — pending,Day,Line-2,Line-2
D02-010,2025-05-03,07:15,Cylinder-Main,Oil contamination in gearbox,N. Das,2.1,Closed,Preventive maintenance scheduled,Day,Line-2,Line-2
D02-011,2025-05-15,13:30,Motor-A,Conveyor belt slip / misalignment,D. Mehta,6.7,Closed,Escalated to OEM,Day,Line-2,Line-2
D02-012,2025-05-07,08:30,Pump-1,Torch height error — cutting machine,V. Joshi,4.6,Closed,Repaired and tested OK,Day,Line-2,Line-2
D02-013,2025-05-28,07:15,Motor-A,Control panel display blank,N. Das,4.6,Closed,Repaired and tested OK,Day,Line-2,Line-2
D02-014,2025-05-22,11:00,Conveyor-Drive,Weld seam out of tolerance,A. Patel,5.5,Closed,Resolved by operator adjustment,Day,Line-2,Line-2
D02-015,2025-05-12,08:15,Pump-1,Coolant pump not starting,D. Mehta,0.7,Closed,Escalated to OEM,Day,Line-2,Line-2
N02-001,2025-05-06,21:15,Cylinder-Main,Coolant pump not starting,P. Gupta,3.4,Closed,,Night,Line-2,Line-2
N02-002,2025-05-24,19:45,Conveyor-Drive,Oil contamination in gearbox,A. Patel,2.2,Closed,Resolved by operator adjustment,Night,Line-2,Line-2
N02-003,2025-05-21,20:00,Cylinder-Main,Control panel display blank,B. Reddy,3.5,Open,Escalated to OEM,Night,Line-2,Line-2
N02-004,2025-05-31,18:30,Pump-1,Water leakage in cooling system,K. Yadav,0.8,Closed,Escalated to OEM,Night,Line-2,Line-2
N02-005,2025-05-08,20:45,Motor-B,Emergency stop triggered — unknown cause,N. Das,1.9,Closed,Resolved by operator adjustment,Night,Line-2,Line-2
N02-006,2025-05-31,22:15,Conveyor-Drive,Pipe OD out of spec — forming issue,P. Gupta,7.6,Open,Escalated to OEM,Night,Line-2,Line-2
N02-007,2025-05-10,18:30,Cylinder-Main,Gear coupling worn — noise detected,D. Mehta,2.9,Closed,Temporary fix applied,Night,Line-2,Line-2
N02-008,2025-05-25,21:45,Pump-1,Lubrication system fault — low level,N. Das,2.8,Closed,Repaired and tested OK,Night,Line-2,Line-2
N02-009,2025-05-22,20:15,Gearbox,Water leakage in cooling system,N. Das,5.4,Closed,,Night,Line-2,Line-2
N02-010,2025-05-10,19:45,Pump-1,Gear coupling worn — noise detected,P. Gupta,2.6,Closed,Escalated to OEM,Night,Line-2,Line-2
N02-011,2025-05-29,19:30,Pump-2,Weld seam out of tolerance,M. Singh,0.7,Closed,,Night,Line-2,Line-2
N02-012,2025-05-12,18:45,Gearbox,Chain elongation on drive chain,N. Das,2.0,Closed,,Night,Line-2,Line-2
D03-001,2025-05-19,09:15,Motor-A,Coating thickness alarm,P. Gupta,6.3,Closed,,Day,Line-3,Line-3
D03-002,2025-05-30,14:15,Motor-B,Hydraulic valve stuck open,M. Singh,6.5,Closed,Escalated to OEM,Day,Line-3,Line-3
D03-003,2025-05-07,13:45,PLC-Panel,Coolant pump not starting,V. Joshi,3.9,Open,Preventive maintenance scheduled,Day,Line-3,Line-3
D03-004,2025-05-07,14:45,Pump-2,Vibration high on spindle motor,V. Joshi,1.1,Closed,Preventive maintenance scheduled,Day,Line-3,Line-3
D03-005,2025-05-21,11:00,Pump-1,Pneumatic pressure drop in actuator,A. Patel,3.4,Closed,Root cause: wear and tear,Day,Line-3,Line-3
D03-006,2025-05-29,12:45,Conveyor-Drive,Air compressor pressure low,V. Joshi,3.6,Closed,Resolved by operator adjustment,Day,Line-3,Line-3
D03-007,2025-05-19,06:45,PLC-Panel,Hydraulic leak in main cylinder,S. Kumar,2.7,Closed,Resolved by operator adjustment,Day,Line-3,Line-3
D03-008,2025-05-14,14:15,PLC-Panel,Strip break at forming section,K. Yadav,3.8,Closed,Escalated to OEM,Day,Line-3,Line-3
D03-009,2025-05-10,12:15,PLC-Panel,Pneumatic pressure drop in actuator,N. Das,4.5,Open,Repaired and tested OK,Day,Line-3,Line-3
D03-010,2025-05-29,12:15,PLC-Panel,Coolant pump not starting,R. Sharma,2.5,Closed,,Day,Line-3,Line-3
D03-011,2025-05-21,11:45,Cylinder-Main,Coating thickness alarm,D. Mehta,2.4,Closed,Repaired and tested OK,Day,Line-3,Line-3
D03-012,2025-05-08,14:00,Conveyor-Drive,Strip break at forming section,P. Gupta,6.4,Closed,Repaired and tested OK,Day,Line-3,Line-3
D03-013,2025-05-24,09:00,Pump-1,Strip break at forming section,M. Singh,4.1,Closed,Root cause: wear and tear,Day,Line-3,Line-3
D03-014,2025-05-17,10:30,Pump-1,Lubrication system fault — low level,N. Das,7.7,Closed,Temporary fix applied,Day,Line-3,Line-3
D03-015,2025-05-22,07:00,Cylinder-Main,Water leakage in cooling system,D. Mehta,3.5,Closed,Spare part ordered — pending,Day,Line-3,Line-3
N03-001,2025-05-13,23:15,Motor-B,Electrical trip — overload relay,K. Yadav,6.9,Closed,Spare part ordered — pending,Night,Line-3,Line-3
N03-002,2025-05-06,22:00,Conveyor-Drive,Air compressor pressure low,D. Mehta,5.5,Closed,Escalated to OEM,Night,Line-3,Line-3
N03-003,2025-05-31,21:45,Motor-B,Pipe OD out of spec — forming issue,S. Kumar,5.3,Open,Temporary fix applied,Night,Line-3,Line-3
N03-004,2025-05-18,19:30,PLC-Panel,Hydraulic valve stuck open,D. Mehta,6.7,Closed,Escalated to OEM,Night,Line-3,Line-3
N03-005,2025-05-04,19:00,Cylinder-Main,Hydraulic valve stuck open,A. Patel,6.1,Closed,Resolved by operator adjustment,Night,Line-3,Line-3
N03-006,2025-05-21,18:45,Conveyor-Drive,Coolant pump not starting,V. Joshi,2.1,Open,Escalated to OEM,Night,Line-3,Line-3
N03-007,2025-05-23,22:30,Motor-A,Encoder signal lost on servo axis,A. Patel,1.1,Closed,,Night,Line-3,Line-3
N03-008,2025-05-14,19:45,PLC-Panel,Hydraulic valve stuck open,R. Sharma,1.2,Closed,Root cause: wear and tear,Night,Line-3,Line-3
N03-009,2025-05-22,23:30,PLC-Panel,Air compressor pressure low,B. Reddy,3.1,Open,Escalated to OEM,Night,Line-3,Line-3
N03-010,2025-05-20,23:45,Cylinder-Main,Oil contamination in gearbox,K. Yadav,2.2,Closed,Escalated to OEM,Night,Line-3,Line-3
N03-011,2025-05-28,23:15,Pump-2,Weld seam out of tolerance,V. Joshi,2.6,Closed,Preventive maintenance scheduled,Night,Line-3,Line-3
N03-012,2025-05-28,19:30,Pump-2,Control panel display blank,M. Singh,2.8,Closed,Temporary fix applied,Night,Line-3,Line-3
D04-001,2025-05-23,06:00,Cylinder-Main,Electrical trip — overload relay,M. Singh,5.3,Open,Spare part ordered — pending,Day,ERW-Pipe-A,ERW-Pipe-A
D04-002,2025-05-04,06:30,PLC-Panel,Drive belt worn — replacement needed,V. Joshi,3.1,Open,Preventive maintenance scheduled,Day,ERW-Pipe-A,ERW-Pipe-A
D04-003,2025-05-04,13:00,Motor-B,Emergency stop triggered — unknown cause,V. Joshi,1.1,Closed,Repaired and tested OK,Day,ERW-Pipe-A,ERW-Pipe-A
D04-004,2025-05-27,08:30,Motor-B,Strip break at forming section,P. Gupta,4.7,Closed,Root cause: wear and tear,Day,ERW-Pipe-A,ERW-Pipe-A
D04-005,2025-05-07,14:45,PLC-Panel,Hydraulic valve stuck open,K. Yadav,7.0,Open,Preventive maintenance scheduled,Day,ERW-Pipe-A,ERW-Pipe-A
D04-006,2025-05-13,06:00,Pump-2,Chain elongation on drive chain,A. Patel,2.5,Closed,Root cause: wear and tear,Day,ERW-Pipe-A,ERW-Pipe-A
D04-007,2025-05-26,14:00,Pump-1,Hydraulic leak in main cylinder,D. Mehta,3.9,Closed,Preventive maintenance scheduled,Day,ERW-Pipe-A,ERW-Pipe-A
D04-008,2025-05-30,09:30,Cylinder-Main,Electrical trip — overload relay,V. Joshi,1.0,Closed,Preventive maintenance scheduled,Day,ERW-Pipe-A,ERW-Pipe-A
D04-009,2025-05-06,09:45,Motor-B,Air compressor pressure low,A. Patel,5.4,Open,Temporary fix applied,Day,ERW-Pipe-A,ERW-Pipe-A
D04-010,2025-05-29,06:15,Cylinder-Main,Lubrication system fault — low level,N. Das,7.4,Closed,,Day,ERW-Pipe-A,ERW-Pipe-A
D04-011,2025-05-09,10:45,Cylinder-Main,Encoder signal lost on servo axis,B. Reddy,4.2,Closed,Repaired and tested OK,Day,ERW-Pipe-A,ERW-Pipe-A
D04-012,2025-05-03,12:30,Cylinder-Main,Hydraulic leak in main cylinder,P. Gupta,2.2,Closed,Repaired and tested OK,Day,ERW-Pipe-A,ERW-Pipe-A
D04-013,2025-05-07,10:00,Pump-1,Drive belt worn — replacement needed,B. Reddy,5.4,Open,Temporary fix applied,Day,ERW-Pipe-A,ERW-Pipe-A
D04-014,2025-05-13,12:45,Motor-B,Drive belt worn — replacement needed,S. Kumar,3.6,Closed,Spare part ordered — pending,Day,ERW-Pipe-A,ERW-Pipe-A
D04-015,2025-05-04,08:30,Gearbox,Electrical trip — overload relay,V. Joshi,2.7,Open,Repaired and tested OK,Day,ERW-Pipe-A,ERW-Pipe-A
N04-001,2025-05-17,18:30,Cylinder-Main,Limit switch failure — door interlock,P. Gupta,7.8,Closed,Repaired and tested OK,Night,ERW-Pipe-A,ERW-Pipe-A
N04-002,2025-05-10,22:45,Gearbox,Motor overheating — bearing failure,A. Patel,4.4,Closed,,Night,ERW-Pipe-A,ERW-Pipe-A
N04-003,2025-05-11,21:00,Pump-2,Vibration high on spindle motor,B. Reddy,1.5,Closed,,Night,ERW-Pipe-A,ERW-Pipe-A
N04-004,2025-05-28,18:15,Pump-1,Oil contamination in gearbox,B. Reddy,0.6,Closed,Root cause: wear and tear,Night,ERW-Pipe-A,ERW-Pipe-A
N04-005,2025-05-05,18:45,Motor-B,Chain elongation on drive chain,M. Singh,4.2,Closed,Preventive maintenance scheduled,Night,ERW-Pipe-A,ERW-Pipe-A
N04-006,2025-05-18,21:45,Pump-2,Hydraulic valve stuck open,B. Reddy,1.6,Closed,Temporary fix applied,Night,ERW-Pipe-A,ERW-Pipe-A
N04-007,2025-05-04,18:30,Gearbox,Limit switch failure — door interlock,B. Reddy,2.5,Closed,Preventive maintenance scheduled,Night,ERW-Pipe-A,ERW-Pipe-A
N04-008,2025-05-05,22:45,Pump-1,Hydraulic valve stuck open,B. Reddy,4.1,Closed,Resolved by operator adjustment,Night,ERW-Pipe-A,ERW-Pipe-A
N04-009,2025-05-17,20:15,Pump-2,Water leakage in cooling system,D. Mehta,2.3,Open,Repaired and tested OK,Night,ERW-Pipe-A,ERW-Pipe-A
N04-010,2025-05-21,23:45,Gearbox,Emergency stop triggered — unknown cause,M. Singh,4.2,Closed,Escalated to OEM,Night,ERW-Pipe-A,ERW-Pipe-A
N04-011,2025-05-04,18:45,Motor-B,Encoder signal lost on servo axis,V. Joshi,0.6,Closed,Temporary fix applied,Night,ERW-Pipe-A,ERW-Pipe-A
N04-012,2025-05-29,21:30,Conveyor-Drive,Lubrication system fault — low level,D. Mehta,5.4,Open,Resolved by operator adjustment,Night,ERW-Pipe-A,ERW-Pipe-A
D05-001,2025-05-21,13:00,Motor-B,Strip break at forming section,K. Yadav,8.0,Closed,Resolved by operator adjustment,Day,ERW-Pipe-B,ERW-Pipe-B
D05-002,2025-05-28,07:45,Pump-1,Electrical trip — overload relay,K. Yadav,7.3,Closed,Repaired and tested OK,Day,ERW-Pipe-B,ERW-Pipe-B
D05-003,2025-05-22,11:30,Gearbox,Pneumatic pressure drop in actuator,A. Patel,4.5,Closed,Temporary fix applied,Day,ERW-Pipe-B,ERW-Pipe-B
D05-004,2025-05-26,08:00,Gearbox,Lubrication system fault — low level,A. Patel,4.2,Closed,Root cause: wear and tear,Day,ERW-Pipe-B,ERW-Pipe-B
D05-005,2025-05-17,10:45,Cylinder-Main,Gear coupling worn — noise detected,R. Sharma,7.2,Closed,Preventive maintenance scheduled,Day,ERW-Pipe-B,ERW-Pipe-B
D05-006,2025-05-10,14:15,Motor-B,Hydraulic valve stuck open,S. Kumar,7.9,Closed,Resolved by operator adjustment,Day,ERW-Pipe-B,ERW-Pipe-B
D05-007,2025-05-09,10:45,Cylinder-Main,Weld seam out of tolerance,D. Mehta,6.9,Closed,Resolved by operator adjustment,Day,ERW-Pipe-B,ERW-Pipe-B
D05-008,2025-05-13,11:30,Cylinder-Main,Hydraulic leak in main cylinder,D. Mehta,2.6,Closed,Repaired and tested OK,Day,ERW-Pipe-B,ERW-Pipe-B
D05-009,2025-05-02,13:30,Pump-2,Lubrication system fault — low level,S. Kumar,2.1,Closed,Preventive maintenance scheduled,Day,ERW-Pipe-B,ERW-Pipe-B
D05-010,2025-05-10,08:00,Motor-A,Oil contamination in gearbox,V. Joshi,0.8,Closed,Temporary fix applied,Day,ERW-Pipe-B,ERW-Pipe-B
D05-011,2025-05-29,10:30,Gearbox,Coolant pump not starting,A. Patel,1.5,Closed,Escalated to OEM,Day,ERW-Pipe-B,ERW-Pipe-B
D05-012,2025-05-15,14:30,Pump-1,Vibration high on spindle motor,V. Joshi,7.8,Closed,Escalated to OEM,Day,ERW-Pipe-B,ERW-Pipe-B
D05-013,2025-05-06,07:45,Motor-B,Pneumatic pressure drop in actuator,A. Patel,7.0,Closed,Resolved by operator adjustment,Day,ERW-Pipe-B,ERW-Pipe-B
